fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Phil Hawes,Roman Dolidze,0,1,11,26,18,42,15,31,29,57,1,1,0,0,0,1,0,0,46,2,5,15,15,38,5,9,2,3,1,2,1,1,11,26,14,36,0,0,2,4,0,0,2,2,http://www.ufcstats.com/fight-details/f32d918ee06cb83b
Andrei Arlovski,Marcos Rogerio de Lima,0,1,2,5,6,11,3,6,25,33,0,0,0,0,0,1,0,0,0,90,1,3,3,8,0,1,1,1,1,1,2,2,2,5,5,9,0,0,0,0,0,0,1,2,http://www.ufcstats.com/fight-details/5dcba156bd13e0c3
Joseph Holmes,JunYong Park,0,0,18,36,12,24,19,38,22,36,0,0,1,2,0,0,1,0,39,115,7,21,8,19,5,7,0,0,6,8,4,5,17,33,12,24,0,1,0,0,1,2,0,0,http://www.ufcstats.com/fight-details/d6d141afdd31c3f1
Chase Hooper,Steve Garcia,0,3,10,30,29,44,10,32,31,46,0,1,0,0,0,0,0,0,0,17,7,25,19,33,2,4,7,8,1,1,3,3,10,30,26,40,0,0,0,0,0,0,3,4,http://www.ufcstats.com/fight-details/86dff1593d8b9a1f
Cody Durden,Carlos Mota,0,0,9,16,2,4,13,29,6,12,1,1,0,0,0,0,0,0,267,0,8,15,1,3,1,1,0,0,0,0,1,1,2,6,1,3,0,0,0,0,7,10,1,1,http://www.ufcstats.com/fight-details/44abbf6b947be6de
Christian Rodriguez,Joshua Weems,0,0,9,23,18,26,15,30,22,32,0,2,2,3,1,0,0,0,56,63,8,21,9,15,0,0,6,7,1,2,3,4,8,21,12,19,0,1,6,7,1,1,0,0,http://www.ufcstats.com/fight-details/fdb9d29cf0edc16a
Charles Oliveira,Islam Makhachev,0,0,6,11,12,18,10,16,51,60,0,0,2,2,0,0,0,0,38,228,1,5,9,15,5,6,3,3,0,0,0,0,2,5,5,10,2,2,3,3,2,4,4,5,http://www.ufcstats.com/fight-details/523815acf1bb2420
Aljamain Sterling,TJ Dillashaw,0,0,30,45,3,11,80,103,8,16,3,4,0,0,1,0,0,0,260,0,24,38,0,8,5,6,1,1,1,1,2,2,8,15,3,11,1,3,0,0,21,27,0,0,http://www.ufcstats.com/fight-details/1f0d4572e0facbea
Petr Yan,Sean O'Malley,0,0,19,31,23,55,28,41,23,55,1,3,0,1,0,0,0,0,70,2,5,15,13,37,3,5,3,9,11,11,7,9,17,29,23,55,2,2,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/5c3c4bcc6c746ca0
Beneil Dariush,Mateusz Gamrot,0,0,9,26,9,13,13,30,13,17,0,0,2,6,0,0,0,0,5,82,2,16,8,11,4,7,1,2,3,3,0,0,7,23,6,9,1,2,3,4,1,1,0,0,http://www.ufcstats.com/fight-details/69f39e5d959311b1
