fighter_a,fighter_b,fighter_a_line,fighter_b_line,event,date
Glover Teixeira,Jamahal Hill,116,-140,UFC 283: Teixeira vs. Hill,2023-01-21
Gilbert Burns,Neil Magny,-530,380,UFC 283: Teixeira vs. Hill,2023-01-21
Jessica Andrade,Lauren Murphy,-500,390,UFC 283: Teixeira vs. Hill,2023-01-21
Johnny Walker,Paul Craig,-190,155,UFC 283: Teixeira vs. Hill,2023-01-21
Ihor Potieria,Mauricio Rua,-205,168,UFC 283: Teixeira vs. Hill,2023-01-21
Brunno Ferreira,Gregory Rodrigues,250,-315,UFC 283: Teixeira vs. Hill,2023-01-21
Melquizael Costa,Thiago Moises,300,-400,UFC 283: Teixeira vs. Hill,2023-01-21
Gabriel Bonfim,Mounir Lazzez,-176,150,UFC 283: Teixeira vs. Hill,2023-01-21
Jailton Almeida,Shamil Abdurakhimov,-1115,700,UFC 283: Teixeira vs. Hill,2023-01-21
Cody Stamann,Luan Luiz Lacerda,-360,275,UFC 283: Teixeira vs. Hill,2023-01-21
Ismael Bonfim,Terrance McKinney,100,-124,UFC 283: Teixeira vs. Hill,2023-01-21
Nicolas Dalby,Warlley Alves,110,-132,UFC 283: Teixeira vs. Hill,2023-01-21
Josiane Nunes,Zarah Fairn,-555,410,UFC 283: Teixeira vs. Hill,2023-01-21
Brad Tavares,Gregory Rodrigues,190,-250,UFC 283: Teixeira vs. Hill,2023-01-21
Daniel Marcos,Saimon Oliveira,120,-142,UFC 283: Teixeira vs. Hill,2023-01-21
Derrick Lewis,Serghei Spivac,235,-298,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Da Un Jung,Devin Clark,-265,205,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Blagoy Ivanov,Marcin Tybura,115,-143,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Choi Doo-Ho,Kyle Nelson,-189,150,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Adam Fugitt,Yusaku Kinoshita,260,-340,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Anshul Jubli,Jeka Saragih,120,-146,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Lee Jeong-Yeong,Yi Zha,-250,200,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Rinya Nakamura,Toshiomi Kazama,-500,350,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Hyun Sung Park,Seung Guk Choi,-205,164,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Ji Yeon Kim,Mandy Bohm,-280,220,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Denis Tiuliulin,Jun Yong Park,180,-225,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Jesus Santos Aguilar,Tatsuro Taira,800,-1404,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Blake Bilder,Shane Young,125,-150,UFC 284: Makhachev vs. Volkanovski,2023-02-11
Elves Brenner,Zubaira Tukhugov,460,-625,UFC 284: Makhachev vs. Volkanovski,2023-02-11
Paulo Costa,Robert Whittaker,225,-275,UFC 284: Makhachev vs. Volkanovski,2023-02-11
Gilbert Burns,Sean Brady,160,-190,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18
Jessica Andrade,Natalia Silva,230,-295,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18
Kyle Nelson,Steve Garcia,170,-210,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18
Ciryl Gane,Jon Jones,145,-170,UFC 285: Jones vs. Gane,2023-03-04
Geoff Neal,Shavkat Rakhmonov,388,-500,UFC 285: Jones vs. Gane,2023-03-04
Jalin Turner,Mateusz Gamrot,169,-212,UFC 285: Jones vs. Gane,2023-03-04
Bo Nickal,Jamie Pickett,-2000,1000,UFC 285: Jones vs. Gane,2023-03-04
Cody Garbrandt,Trevin Jones,-175,145,UFC 285: Jones vs. Gane,2023-03-04
Alexa Grasso,Valentina Shevchenko,562,-900,UFC 285: Jones vs. Gane,2023-03-04
Derek Brunson,Dricus Du Plessis,188,-232,UFC 285: Jones vs. Gane,2023-03-04
Amanda Ribas,Viviane Araujo,-118,59,UFC 285: Jones vs. Gane,2023-03-04
Julian Marquez,Marc-Andre Barriault,130,-162,UFC 285: Jones vs. Gane,2023-03-04
Ian Garry,Kenan Song,-800,538,UFC 285: Jones vs. Gane,2023-03-04
Cameron Saaiman,Leomana Martinez,-265,210,UFC 285: Jones vs. Gane,2023-03-04
Jessica Penne,Tabatha Ricci,240,-300,UFC 285: Jones vs. Gane,2023-03-04
Darmon Blackshear,Farid Basharat,350,-450,UFC 285: Jones vs. Gane,2023-03-04
Esteban Ribovics,Kamuela Kirk,-195,165,UFC 285: Jones vs. Gane,2023-03-04
Esteban Ribovics,Loik Radzhabov,172,-210,UFC 285: Jones vs. Gane,2023-03-04
Merab Dvalishvili,Petr Yan,205,-252,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Alexander Volkov,Alexandr Romanov,124,-155,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Alexander Romanov,Alexander Volkov,-71,76,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Nikita Krylov,Ryan Spann,-166,140,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Jonathan Martinez,Said Nurmagomedov,196,-250,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Guido Cannetti,Mario Bautista,650,-1000,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Austin Lingo,Ricardo Ramos,8,8,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Anton Turkalj,Vitor Petrino,-105,-116,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Karl Williams,Rukasz Brzeski,-250,198,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Josh Fremd,Sedriques Dumas,180,-222,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Davey Grant,Raphael Assuncao,-138,112,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Tony Gravely,Victor Henry,120,-150,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Ariane Lipski,Jj Aldrich,300,-400,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Bruno Gustavo da Silva,Tyson Nam,-188,154,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Carlston Harris,Jared Gooden,-312,242,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Kamaru Usman,Leon Edwards,-272,210,UFC 286: Edwards vs. Usman 3,2023-03-18
Daniel Rodriguez,Gunnar Nelson,270,-350,UFC 286: Edwards vs. Usman 3,2023-03-18
Justin Gaethje,Rafael Fiziev,190,-248,UFC 286: Edwards vs. Usman 3,2023-03-18
Bryan Barberena,Gunnar Nelson,300,-400,UFC 286: Edwards vs. Usman 3,2023-03-18
Casey O'Neill,Jennifer Maia,-176,142,UFC 286: Edwards vs. Usman 3,2023-03-18
Marvin Vettori,Roman Dolidze,-250,200,UFC 286: Edwards vs. Usman 3,2023-03-18
Jack Shore,Makwan Amirkhani,-530,395,UFC 286: Edwards vs. Usman 3,2023-03-18
Chris Duncan,Omar Morales,-111,-108,UFC 286: Edwards vs. Usman 3,2023-03-18
Sam Patterson,Yanal Ashmoz,-282,225,UFC 286: Edwards vs. Usman 3,2023-03-18
Jafel Filho,Muhammad Mokaev,582,-875,UFC 286: Edwards vs. Usman 3,2023-03-18
Gabriel Santos.,Lerone Murphy,146,-180,UFC 286: Edwards vs. Usman 3,2023-03-18
Jake Hadley,Malcolm Gordon,-420,310,UFC 286: Edwards vs. Usman 3,2023-03-18
Christian Leroy Duncan,Durko Todorovir,-228,180,UFC 286: Edwards vs. Usman 3,2023-03-18
Joanne Wood,Luana Carolina,-178,148,UFC 286: Edwards vs. Usman 3,2023-03-18
Jai Herbert,Rudovit Klein,166,-205,UFC 286: Edwards vs. Usman 3,2023-03-18
Juliana Miller,Veronica Macedo,-425,322,UFC 286: Edwards vs. Usman 3,2023-03-18
Arnold Allen,Max Holloway,128,-160,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Billy Quarantillo,Edson Barboza,-150,118,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Bill Algeo,T.J. Brown,-134,108,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Chris Gutierrez,Pedro Munhoz,-232,182,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Azamat Murzakanov,Dustin Jacoby,150,-189,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Cory Sandhagen,Marlon Vera,-150,125,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Holly Holm,Yana Santos,-248,195,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Austin Lingo,Nate Landwehr,172,-212,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Andrea Lee,Maycee Barber,222,-278,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Albert Duraev,Chidi Njokuani,132,-162,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Alex Perez,Manel Kape,162,-200,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Daniel Pineda,Tucker Lutz,222,-289,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Lucas Alexander,Steven Peterson,130,-157,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Preston Parsons,Trevin Giles,-114,-23,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
C.J. Vergara,Daniel da Silva,-250,200,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Victor Altamirano,Vinicius Salvador,-104,-116,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Manuel Torres,Trey Ogden,-71,74,UFC Fight Night: Vera vs. Sandhagen,2023-03-25
Gilbert Burns,Jorge Masvidal,-450,345,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Adrian Yanez,Rob Font,-175,139,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Kevin Holland,Santiago Ponzinibbio,-250,200,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Christian Rodriquez,Raul Rosas Jr,205,-260,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Chris Curtis,Kelvin Gastelum,110,-136,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Luana Pinheiro,Michelle Waterson,-158,130,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Gerald Meerschaert,Joe Pyfer,164,-200,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Chase Sherman,Karl Williams,329,-435,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Cynthia Calvillo,Lupita Godinez,210,-275,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Ignacio Bahamondes,Trey Ogden,-395,305,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Shayilan Nuerdanbieke,Steve Garcia,-180,150,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Jacqueline Amorim,Sam Hughes,-272,215,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Chase Sherman,Chris Barnett,-225,185,UFC 287: Pereira vs. Adesanya 2,2023-04-08
Arnold Allen,Max Holloway,140,-172,UFC Fight Night: Holloway vs. Allen,2023-04-15
Billy Quarantillo,Edson Barboza,-168,140,UFC Fight Night: Holloway vs. Allen,2023-04-15
Azamat Murzakanov,Dustin Jacoby,135,-164,UFC Fight Night: Holloway vs. Allen,2023-04-15
Ion Curelaba,Tanner Boser,-130,106,UFC Fight Night: Holloway vs. Allen,2023-04-15
Chris Gutierrez,Pedro Munhoz,-210,170,UFC Fight Night: Holloway vs. Allen,2023-04-15
Clay Guida,Rafa Garcia,215,-275,UFC Fight Night: Holloway vs. Allen,2023-04-15
Bill Algeo,Tj Brown,-200,164,UFC Fight Night: Holloway vs. Allen,2023-04-15
Brandon Royval,Matheus Nicolau,164,-202,UFC Fight Night: Holloway vs. Allen,2023-04-15
Ed Herman,Zak Cummings,172,-220,UFC Fight Night: Holloway vs. Allen,2023-04-15
Gillian Robertson,Piera Rodriguez,-128,106,UFC Fight Night: Holloway vs. Allen,2023-04-15
Daniel Zellhuber,Lando Vannata,-130,107,UFC Fight Night: Holloway vs. Allen,2023-04-15
Bruna Brasil,Denise Gomes,-148,122,UFC Fight Night: Holloway vs. Allen,2023-04-15
Aaron Phillips,Gaston Bolanos,150,-186,UFC Fight Night: Holloway vs. Allen,2023-04-15
Joselyne Edwards,Lucie Pudilova,114,-138,UFC Fight Night: Holloway vs. Allen,2023-04-15
Jeremiah Wells,Matthew Semelsberger,80,-118,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Curtis Blaydes,Sergei Pavlovich,-133,110,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Brad Tavares,Bruno Silva,-166,137,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Bobby Green,Jared Gordon,-275,215,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Brogan Walker,Iasmin Lucindo,300,-388,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Christos Giagos,Ricky Glenn,139,-164,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Montel Jackson,Rani Yahya,-590,425,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Carlos Candelario,Rafael Estevam,220,-275,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Brogan Walker-Sanchez,Iasmin Lucindo,225,-275,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Karol Rosa,Norma Dumont,-104,-120,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Junior Tafa,Mohammed Usman,-116,-23,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Francis Marshall,William Gomis,-196,163,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Brady Hiestand,Danaa Batgerel,119,-149,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Karine Silva,Priscila Cachoeira,-192,158,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22
Ricky Simon,Song Yadong,-139,113,UFC Fight Night: Song vs. Simon,2023-04-29
Caio Borralho,Michar Oleksiejczuk,-363,282,UFC Fight Night: Song vs. Simon,2023-04-29
Cody Brundage,Rodolfo Vieira,192,-240,UFC Fight Night: Song vs. Simon,2023-04-29
Fernando Padilla,Julian Erosa,122,-150,UFC Fight Night: Song vs. Simon,2023-04-29
Marcos Rogerio,Waldo Cortes-Acosta,-175,150,UFC Fight Night: Song vs. Simon,2023-04-29
Josh Quinlan,Trey Waters,-240,188,UFC Fight Night: Song vs. Simon,2023-04-29
Jake Collier,Martin Buday,112,-139,UFC Fight Night: Song vs. Simon,2023-04-29
Charles Johnson,Cody Durden,-144,118,UFC Fight Night: Song vs. Simon,2023-04-29
Ange Loosa,Josh Quinlan,-150,125,UFC Fight Night: Song vs. Simon,2023-04-29
Brian Kelleher,Journey Newson,-135,110,UFC Fight Night: Song vs. Simon,2023-04-29
Emily Ducote,Polyana Viana,-115,-105,UFC Fight Night: Song vs. Simon,2023-04-29
Irina Alekseeva,Stephanie Egger,255,-342,UFC Fight Night: Song vs. Simon,2023-04-29
Journey Newson,Marcus McGhee,-166,133,UFC Fight Night: Song vs. Simon,2023-04-29
Hailey Cowan,Jamey-Lyn Horth,135,-164,UFC Fight Night: Song vs. Simon,2023-04-29
Aljamain Sterling,Henry Cejudo,-102,-122,UFC 288: Sterling vs. Cejudo,2023-05-06
Belal Muhammad,Gilbert Burns,125,-152,UFC 288: Sterling vs. Cejudo,2023-05-06
Jessica Andrade,Xiaonan Yan,-181,149,UFC 288: Sterling vs. Cejudo,2023-05-06
Diego Lopes,Movsar Evloev,600,-1000,UFC 288: Sterling vs. Cejudo,2023-05-06
Charles Jourdain,Kron Gracie,-169,140,UFC 288: Sterling vs. Cejudo,2023-05-06
Drew Dober,Matt Frevola,-225,180,UFC 288: Sterling vs. Cejudo,2023-05-06
Devin Clark,Kennedy Nzechukwu,150,-186,UFC 288: Sterling vs. Cejudo,2023-05-06
Khaos Williams,Ronaldo Bedoya,-400,300,UFC 288: Sterling vs. Cejudo,2023-05-06
Marina Rodriguez,Virna Jandiroba,-114,-23,UFC 288: Sterling vs. Cejudo,2023-05-06
Braxton Smith,Parker Porter,142,-175,UFC 288: Sterling vs. Cejudo,2023-05-06
Ikram Aliskerov,Phillip Hawes,-190,160,UFC 288: Sterling vs. Cejudo,2023-05-06
Claudio Ribiero,Joseph Holmes,-162,135,UFC 288: Sterling vs. Cejudo,2023-05-06
Bryce Mitchell,Movsar Evloev,210,-275,UFC 288: Sterling vs. Cejudo,2023-05-06
Daniel Santos,Johnny Munoz Jr.,-185,150,UFC 288: Sterling vs. Cejudo,2023-05-06
Jailton Almeida,Jairzinho Rozenstruik,-505,380,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Anthony Smith,Johnny Walker,80,-118,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Daniel Rodriguez,Ian Machado Garry,240,-300,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Carlos Ulberg,Ihor Potieria,-450,329,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Alex Morono,Tim Means,-225,180,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Court McGee,Matt Brown,-222,178,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Chase Sherman,Karl Williams,328,-420,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Cody Stamann,Douglas Silva de Andrade,-162,130,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Ji Yeon Kim,Mandy Bohm,-245,199,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Natan Levy,Pete Rodriguez,-103,124,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Bryan Battle,Gabe Green,110,-136,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Jessica-Rose Clark,Tainara Lisboa,100,-120,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13
Amir Albazi,Kai Kara-France,-120,-102,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Alex Caceres,Daniel Pineda,-187,151,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Jesse Butler,Jim Miller,200,-250,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Timothy Elliott,Victor Altamirano,-186,148,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Karine Silva,Ketlen Souza,-220,175,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Abubakar Nurmagomedov,Elizeu Zaleski,-124,100,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Daniel Santos,Johnny Munoz,-225,180,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Andrei Arlovski,Don'tale Mayes,116,-139,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Guram Kutateladze,Jamie Mullarkey,-350,260,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Jim Miller,Ludovit Klein,200,-250,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
John Castaneda,Mateus Mendonca,-165,135,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
John Castaneda,Muin Gafurov,-125,100,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Jamie Mullarkey,Muhammadjon Naimov,-470,355,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Elise Reed,Jinh Yu Frey,-134,110,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Darmon Blackshear,Luan Lacerda,125,-156,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Maxim Grishin,Philipe Lins,-125,104,UFC Fight Night: Kara-France vs. Albazi,2023-06-03
Michel Pereira,Stephen Thompson,176,-230,UFC 289: Nunes vs. Aldana,2023-06-10
Dricus Du Plessis,Robert Whittaker,275,-385,UFC 289: Nunes vs. Aldana,2023-06-10
Amanda Nunes,Irene Aldana,-334,265,UFC 289: Nunes vs. Aldana,2023-06-10
Adam Fugitt,Mike Malott,178,-220,UFC 289: Nunes vs. Aldana,2023-06-10
Dan Ige,Nate Landwehr,-275,220,UFC 289: Nunes vs. Aldana,2023-06-10
Eryk Anders,Marc-Andre Barriault,132,-160,UFC 289: Nunes vs. Aldana,2023-06-10
Chris Curtis,Nassourdine Imavov,147,-180,UFC 289: Nunes vs. Aldana,2023-06-10
Jasmine Jasudavicius,Miranda Maverick,200,-250,UFC 289: Nunes vs. Aldana,2023-06-10
Aiemann Zahabi,Aori Qileng,100,-122,UFC 289: Nunes vs. Aldana,2023-06-10
Blake Bilder,Kyle Nelson,-275,218,UFC 289: Nunes vs. Aldana,2023-06-10
David Dvorak,Stephen Erceg.,-300,240,UFC 289: Nunes vs. Aldana,2023-06-10
Diana Belbirr,Maria Oliveira,-140,114,UFC 289: Nunes vs. Aldana,2023-06-10
Jared Cannonier,Marvin Vettori,105,-125,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Arman Tsarukyan,Joaquim Silva,-1158,688,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Armen Petrosyan,Christian Leroy Duncan,128,-157,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Lucas Almeida,Pat Sabatini,155,-189,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Manuel Torres,Nikolas Motta,-189,155,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Alessandro Costa,Jimmy Flick,-295,238,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Cristian Quinonez,Kang Kyung-Ho,-148,121,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Carlos Hernandez,Denys Bondar,116,-142,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Gabriella Fernandes,Tereza Bleda,194,-240,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Dan Argueta,Ronnie Lawrence,162,-198,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Modestas Bukauskas,Zac Pauga,-200,163,UFC Fight Night: Vettori vs. Cannonier,2023-06-17
Punahele Soriano,Sedriques Dumas,-225,180,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Trevor Peek,Victor Martinez,-275,220,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Amanda Ribas,Maycee Barber,-200,160,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Austen Lane,Justin Tafa,150,-189,UFC Fight Night: Emmett vs. Topuria,2023-06-24
David Onama,Gabriel Santos,182,-225,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Brendan Allen,Bruno Silva,-215,170,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Neil Magny,Philip Rowe,-175,140,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Randy Brown,Wellington Turman,-250,198,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Loik Radzhabov,Mateusz Rrbecki,108,-132,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Gillian Robertson,Tabatha Ricci,106,-128,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Joshua van,Zhalgas Zhumagulov,166,-205,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Jose Mariscal,Trevor Peek,112,-137,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Jack Jenkins,Jamall Emmers,158,-200,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Cody Brundage,Sedriques Dumas,-149,125,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Ilia Topuria,Josh Emmett,-372,285,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Muslim Salikhov,Nicolas Dalby,-184,149,UFC Fight Night: Emmett vs. Topuria,2023-06-24
Elves Brener,Esteban Ribovics,-160,130,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Derrick Lewis,Jailton Almeida,350,-500,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Gabriel Bonfim,Nicolas Dalby,-620,450,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Don'tale Mayes,Rodrigo Nascimento,168,-200,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Abus Magomedov,Caio Borralho,240,-300,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Armen Petrosyan,Rodolfo Vieira,-110,-110,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Elves Brener,Kaynan Kruschewsky,-240,195,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Elizeu Zaleski Dos Santos,Rinat Fakhretdinov,275,-370,UFC Fight Night: Strickland vs. Magomedov,2023-07-01
Marcin Prachnio,Vitor Petrino,210,-268,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Cameron Saaiman,Terrence Mitchell.,-581,425,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Jesus Santos Aguilar,Shannon Ross,-150,120,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Esteban Ribovics,Kamuela Kirk,-172,138,UFC 290: Volkanovski vs. Rodriguez,2023-07-08
Holly Holm,Mayra Bueno Silva,-175,142,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Bassil Hafez,Jack Della Maddalena,422,-590,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Francisco Prado,Ottman Azaitar,-116,-105,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Albert Duraev,Jun Yong Park,128,-155,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Chelsea Chandler,Norma Dumont,120,-145,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Nazim Sadykhov,Terrance McKinney,-152,124,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Melsik Baghdasaryan,Tucker Lutz,-157,126,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Istela Nunes,Viktoriia Dudakova,159,-198,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Austin Lingo,Melquizael Costa,188,-230,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Evan Elder,Genaro Valdez,-315,242,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Azat Maksum,Tyson Nam,-402,305,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Alexander Munoz,Carl Deaton,-228,180,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Ailin Perez,Ashlee Evans-Smith,-252,202,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15
Jon Jones,Tom Aspinall,114,-142,UFC Fight Night: Aspinall vs. Tybura,2023-07-22
Matthew Semelsberger,Uror Medir,-210,175,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Miranda Maverick,Priscila Cachoeira,-286,230,UFC 291: Poirier vs. Gaethje 2,2023-07-29
Diego Lopes,Jean Silva,195,-250,UFC Fight Night: Sandhagen vs. Font,2023-08-05
David Martinez,Rob Font,100,-124,UFC Fight Night: Sandhagen vs. Font,2023-08-05
Rafael Dos Anjos,Vicente Luque,-125,102,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Cub Swanson,Hakeem Dawodu,240,-295,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Chris Daukaus,Khalil Rountree Jr.,145,-178,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Iasmin Lucindo,Polyana Viana,-200,160,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
A.J. Dobson,Tafon Nchukwi,115,-142,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Jamie Pickett,Josh Fremd,260,-334,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
J.P. Buys,Marcus McGhee,275,-350,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Mike Breeden,Terrance McKinney,220,-278,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Lando Vannata,Mike Breeden,-250,200,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Francis Marshall,Isaac Dulgarian,-158,130,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
Josh Parisian,Martin Buday,170,-210,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12
